QuarterID,GameID,Number,Name,AwayScore,HomeScore
69614,19411,1,1,16,12
69615,19411,2,2,25,25
69616,19411,3,3,28,27
69617,19411,4,4,27,23
69618,18163,1,1,18,16
69619,18163,2,2,27,32
69620,18163,3,3,21,28
69621,18163,4,4,41,26
69622,18175,1,1,25,26
69623,18175,2,2,31,28
69624,18175,3,3,29,20
69625,18175,4,4,10,30
69626,18149,1,1,24,29
69627,18149,2,2,22,39
69628,18149,3,3,31,39
69629,18149,4,4,16,27
69630,18150,1,1,22,22
69631,18150,2,2,27,28
69632,18144,1,1,17,30
69633,18150,3,3,15,32
69634,18144,2,2,20,32
69635,18150,4,4,18,32
69636,18144,3,3,30,35
69637,18144,4,4,29,37
69638,18120,1,1,42,26
69639,19407,1,1,21,25
69640,18120,2,2,23,36
69641,19407,2,2,21,31
69642,18120,3,3,36,24
69643,19408,1,1,30,21
69644,18120,4,4,26,22
69645,19407,3,3,27,30
69646,19408,2,2,21,31
69647,19407,4,4,28,23
69648,19408,3,3,39,30
69649,18136,1,1,21,27
69650,18121,1,1,22,27
69651,19408,4,4,22,19
69652,18121,2,2,22,25
69653,18136,2,2,20,19
69654,18121,3,3,34,19
69655,18136,3,3,35,13
69656,18136,4,4,29,16
69657,18121,4,4,19,31
69658,18170,1,1,22,23
69659,18170,2,2,31,42
69660,18122,1,1,26,24
69661,18122,2,2,38,28
69662,18170,3,3,21,33
69663,18170,4,4,22,19
69664,18122,3,3,29,31
69665,18122,4,4,28,28
69666,18123,1,1,40,25
69667,18123,2,2,30,28
69668,18124,1,1,21,27
69669,18124,2,2,33,27
69670,18123,3,3,34,39
69671,18124,3,3,28,22
69672,18123,4,4,25,33
69673,18124,4,4,36,25
69674,18161,1,1,33,28
69675,18158,1,1,27,17
69676,18158,2,2,32,26
69677,18158,3,3,36,25
69678,18158,4,4,27,29
69679,18161,2,2,31,32
69680,18161,3,3,26,30
69681,18161,4,4,22,23
69682,18151,1,1,22,27
69683,18151,2,2,24,35
69684,18151,3,3,26,28
69685,18151,4,4,38,20
69686,19413,1,1,28,26
69687,19413,2,2,25,26
69688,19413,3,3,20,23
69689,19413,4,4,25,21
69690,18151,5,OT,15,9
69691,18137,1,1,28,35
69692,18137,2,2,34,34
69693,18137,3,3,29,26
69694,18137,4,4,28,20
69696,19414,1,1,33,32
69697,19414,2,2,34,39
69698,19414,3,3,27,30
69699,19414,4,4,19,22
69700,18125,1,1,25,18
69701,18125,2,2,36,25
69702,18125,3,3,22,14
69703,18125,4,4,26,23
69704,18145,1,1,19,33
69705,18145,2,2,30,19
69706,18145,3,3,27,31
69707,18145,4,4,26,16
69708,18126,1,1,24,27
69709,18126,2,2,28,16
69710,18126,3,3,36,21
69711,18126,4,4,26,35
69712,18152,1,1,22,35
69713,18152,2,2,35,27
69714,18152,3,3,36,22
69715,18152,4,4,19,19
69716,18171,1,1,31,26
69717,18171,2,2,23,46
69718,18171,3,3,34,31
69719,18171,4,4,26,28
69720,18155,1,1,25,26
69721,18127,1,1,26,27
69722,18127,2,2,37,45
69723,18127,3,3,25,33
69724,18127,4,4,25,26
69725,19409,1,1,21,29
69726,18155,2,2,26,33
69727,18155,3,3,27,25
69728,18155,4,4,23,23
69729,18156,1,1,29,28
69730,18156,2,2,27,37
69731,18156,3,3,23,27
69732,18156,4,4,21,24
69733,19409,2,2,34,28
69734,19409,3,3,28,21
69735,19409,4,4,28,30
69736,19415,1,1,15,33
69737,19415,2,2,40,27
69738,19415,3,3,28,24
69739,19415,4,4,27,21
69740,18165,1,1,24,25
69741,18165,2,2,39,30
69742,18165,3,3,33,20
69743,18165,4,4,22,34
69744,18129,1,1,27,38
69745,18129,2,2,20,19
69746,18129,3,3,30,23
69747,18129,4,4,38,18
69748,18146,1,1,28,24
69749,18146,2,2,22,20
69750,18146,3,3,37,22
69751,18146,4,4,24,31
69752,18138,1,1,35,33
69753,18138,2,2,25,19
69754,18138,3,3,29,39
69755,18138,4,4,35,30
69756,18130,1,1,19,31
69757,18130,2,2,34,39
69758,18130,3,3,24,28
69759,18130,4,4,17,28
